Entity, Alias: Default, Base Currency
FCCS_Global Assumptions,,
FCCS_Total Geography,,
E100000,QDRE Investment Company Q.C.S.C.,QAR
001001,QDRE Investment Company Q.S.C. (H),QAR
001051,Huzoom Lusail Company LLC,QAR
E101000,QDHP & QD Europe Sarl,EUR
E101100,QD Europe_S.a.r.l.,EUR
007001,QD Europe S.a.r.l. (H),EUR
007012,GS 16  S.ar.l.,EUR
E101110,QD VEO_S.a.r.l.,EUR
007004,QD VEO S.a.r.l. (H),EUR
007005,VELO Investissement,EUR
007006,Casinvest S.a.r.l. (H),EUR
E101111,Q Hotel & Marina Limited,EUR
032002,QD Hotel & Property Investment Montenegro Doo,EUR
007013,Q Hotel & Marina Ltd. (H),EUR
007008,QD Cyprus Ltd.,EUR
007007,Casinvest Iean S.a.r.l.,EUR
007009,QD Europe Chancery S.a.r.l.,GBP
027009,QD Americas Inc. - Delaware,USD
007011,GPS Holdings S.a.r.l.,GBP
006002,QD Hotel & Property Investment Ltd.,EUR
008000,QDHP & QD Europe Sarl (H),EUR
E102000,QDVC_Q.S.C.,QAR
001007,QDVC Q.S.C. (Holding),QAR
001046,QDVP Q.S.C.,QAR
102000A,QDVC Adj Entity,QAR
E103000,Qatar RE Partners C.Q.S.C. (under liquidation),QAR
001003,Qatar RE Part C.Q.S.C.(under liquidation)(H),QAR
005003,Morocco RE Brok Serv(under liquidation),MAD
001004,Qatar Real Estate Brokerage Services,QAR
E104000,Smeet_W.L.L.,QAR
001016,Smeet W.L.L. (H),QAR
001047,SMEET Precast S.P.C.,QAR
001048,SMEET Readymix Co. W.L.L. (brn.),QAR
104000A,Smeet Adj Entity,QAR
001028,East Gates Real Estate Investment,QAR
E105000,Qatari Diar Real Estate Investment Company (QD Morocco),MAD
005001,QDRE Investment Co.(QD Morocco) (H),MAD
005004,Al Houara Golf & Racket Club (Mor.),MAD
005005,Al Houara Hotel & Beach Res.(Mor),MAD
005006,Al Houara Beach Hotel (Morocco),MAD
105000A,QD Mor Adj Entity,MAD
E121000,QDRE & Tourism Co. LLC. (Egypt) Subgroup,EGP
002001,QDRE & Tourism Co. LLC. (Egypt),EGP
121001A,QDRE & Tourism Co. LLC. (Egypt) Adj Entity,EGP
017001,QDRE Investment Co. L.L.C. (Syria),SYP
E106000,Project Red Group Ltd.,GBP
003001,Project Red Group Limited (Holding),GBP
003002,Project Red Holdings Limited,GBP
003003,Project Red  Limited,GBP
E107000,Project Blue Holdings Ltd.,GBP
003004,Project Blue Holdings Ltd.(H),GBP
003006,Project Blue Develop. Ltd.(H),GBP
003005,Roseglen Limited,GBP
003009,Project Blue  Acquisitions Limited,GBP
003007,Project Blue  Limited,GBP
E108000,QD US Real Estate Co.,USD
019002,QD US Real Estate Company (H),USD
E108100,QD US Parcel A (Condo 1) Co.,USD
019004,QD US Parcel A (Condo 1) Company (H),USD
027002,CityCenter DC Condo 1,USD
E108200,QD US Parcel A (Condo 2) Co.,USD
019005,QD US Parcel A (Condo 2) Company (H),USD
027003,CityCenter DC Condo 2,USD
