MAX ROW: 188
Row 1: ENT= | PRT=
Row 2: ENT= | PRT=
Row 3: ENT= | PRT=
Row 4: ENT= | PRT=
Row 5: ENT= | PRT=
Row 6: ENT= | PRT=
Row 7: ENT= | PRT=
Row 8: ENT= | PRT=
Row 9: ENT= | PRT=
Row 10: ENT= | PRT=
Row 11: ENT= | PRT=
Row 12: ENT= | PRT=
Row 13: ENT= | PRT=
Row 14: ENT= | PRT=
Row 15: ENT= | PRT=
Row 16: ENT= | PRT=
Row 17: ENT= | PRT=
Row 18: ENT= | PRT=
Row 19: ENT= | PRT=
Row 20: ENT= | PRT=
Row 21: ENT= | PRT=
Row 22: ENT= | PRT=
Row 23: ENT= | PRT=
Row 24: ENT= | PRT=
Row 25: ENT= | PRT=
Row 26: ENT= | PRT=
Row 27: ENT= | PRT=
Row 28: ENT= | PRT=
Row 29: ENT= | PRT=
Row 30: ENT= | PRT=
Row 31: ENT= | PRT=
Row 32: ENT=Entity | PRT=Partner
Row 33: ENT=001001 - QDRE Investment Company Q.S.C. (H) | PRT=ICP_E100000 - QDRE Investment Company Q.C.S.C. ICP
Row 34: ENT=001001 - QDRE Investment Company Q.S.C. (H) | PRT=
Row 35: ENT=007001 - QD Europe S.a.r.l. (H) | PRT=ICP_E100000 - QDRE Investment Company Q.C.S.C. ICP
Row 36: ENT=007001 - QD Europe S.a.r.l. (H) | PRT=ICP_E101100 - QD Europe_S.a.r.l. ICP
Row 37: ENT=007001 - QD Europe S.a.r.l. (H) | PRT=ICP_E101000 - QDHP & QD Europe Sarl ICP
Row 38: ENT=007001 - QD Europe S.a.r.l. (H) | PRT=
Row 39: ENT=007004 - QD VEO S.a.r.l. (H) | PRT=ICP_E100000 - QDRE Investment Company Q.C.S.C. ICP
Row 40: ENT=007004 - QD VEO S.a.r.l. (H) | PRT=ICP_E101100 - QD Europe_S.a.r.l. ICP
Row 41: ENT=007004 - QD VEO S.a.r.l. (H) | PRT=ICP_E101110 - QD VEO_S.a.r.l. ICP
Row 42: ENT=007004 - QD VEO S.a.r.l. (H) | PRT=ICP_E101000 - QDHP & QD Europe Sarl ICP
Row 43: ENT=007004 - QD VEO S.a.r.l. (H) | PRT=
Row 44: ENT=007005 - VELO Investissement | PRT=ICP_E100000 - QDRE Investment Company Q.C.S.C. ICP
Row 45: ENT=007005 - VELO Investissement | PRT=ICP_E101100 - QD Europe_S.a.r.l. ICP
Row 46: ENT=007005 - VELO Investissement | PRT=ICP_E101110 - QD VEO_S.a.r.l. ICP
Row 47: ENT=007005 - VELO Investissement | PRT=ICP_E101000 - QDHP & QD Europe Sarl ICP
Row 48: ENT=007005 - VELO Investissement | PRT=
Row 49: ENT=E101110 - QD VEO_S.a.r.l. | PRT=ICP_007004 - QD VEO S.a.r.l. (H) ICP
Row 50: ENT=E101110 - QD VEO_S.a.r.l. | PRT=ICP_007005 - VELO Investissement ICP
Row 51: ENT=E101110 - QD VEO_S.a.r.l. | PRT=
Row 52: ENT=007006 - Casinvest S.a.r.l. (H) | PRT=ICP_E100000 - QDRE Investment Company Q.C.S.C. ICP
Row 53: ENT=007006 - Casinvest S.a.r.l. (H) | PRT=ICP_E101100 - QD Europe_S.a.r.l. ICP
Row 54: ENT=007006 - Casinvest S.a.r.l. (H) | PRT=ICP_E101000 - QDHP & QD Europe Sarl ICP
Row 55: ENT=007006 - Casinvest S.a.r.l. (H) | PRT=
Row 56: ENT=032002 - QD Hotel & Property Investment Montenegro Doo | PRT=ICP_E100000 - QDRE Investment Company Q.C.S.C. ICP
Row 57: ENT=032002 - QD Hotel & Property Investment Montenegro Doo | PRT=ICP_E101100 - QD Europe_S.a.r.l. ICP
Row 58: ENT=032002 - QD Hotel & Property Investment Montenegro Doo | PRT=ICP_E101000 - QDHP & QD Europe Sarl ICP
Row 59: ENT=032002 - QD Hotel & Property Investment Montenegro Doo | PRT=
Row 60: ENT=007011 - GPS Holdings S.a.r.l. | PRT=ICP_E100000 - QDRE Investment Company Q.C.S.C. ICP
Row 61: ENT=007011 - GPS Holdings S.a.r.l. | PRT=ICP_E101100 - QD Europe_S.a.r.l. ICP
Row 62: ENT=007011 - GPS Holdings S.a.r.l. | PRT=ICP_E101000 - QDHP & QD Europe Sarl ICP
Row 63: ENT=007011 - GPS Holdings S.a.r.l. | PRT=
Row 64: ENT=E101100 - QD Europe_S.a.r.l. | PRT=ICP_007001 - QD Europe S.a.r.l. (H) ICP
Row 65: ENT=E101100 - QD Europe_S.a.r.l. | PRT=ICP_007006 - Casinvest S.a.r.l. (H) ICP
Row 66: ENT=E101100 - QD Europe_S.a.r.l. | PRT=ICP_007011 - GPS Holdings S.a.r.l. ICP
Row 67: ENT=E101100 - QD Europe_S.a.r.l. | PRT=ICP_007004 - QD VEO S.a.r.l. (H) ICP
