 Row | Entity                                   | Partner                                  |        534 Ent |        433 Ent |        111 Ent |        120 Ent |        121 Ent |           Var1 |        433 Par |        534 Par |        111 Par |        120 Par |        121 Par |           Var2 |          Total
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 171 | 001001:QDRE Investment Company Q.S.C. (H | ICP_E101000:QDHP & QD Europe Sarl        |        -116.79 |                |                |                |                |        -116.79 |                |     4147686.72 |                |                |                |     4147686.72 |     4147569.93
 172 | 001001:QDRE Investment Company Q.S.C. (H | ICP_E108000:QD US Real Estate Co.        |      465978.46 |                |                |                |                |      465978.46 |                |    69254195.50 |                |                |                |    69254195.50 |    69720173.96
 173 | 001001:QDRE Investment Company Q.S.C. (H | ICP_E111000:Qatari Resorts Co. Q.S.C.    |                |                |                |    -1555338.34 |                |    -1555338.34 |                |      -11700.00 |                |                |                |      -11700.00 |    -1567038.34
 174 | 001001:QDRE Investment Company Q.S.C. (H | ICP_E118000:QD SBG Group adjusted        |                |                |       43170.00 |                |                |       43170.00 |                |                |                |                |    -1576708.00 |    -1576708.00 |    -1533538.00
 175 | 001002:Qatari Resorts Co. Q.S.C. (H) ICP | ICP_E101000:QDHP & QD Europe Sarl        |                |    69247729.00 |                |                |                |   -69247729.00 |                |    -3635532.44 |                |                |                |    -3635532.44 |   -72883261.44
 176 | 001032:SBG-PORR-HBK Joint Operation (Ele | ICP_001033:PORR-SBG-HBK Joint Operation  |      192160.00 |                |                |                |                |      192160.00 |                |                |                |                |   -88717872.52 |   -88717872.52 |   -88525712.52
 178 | 005002:Al Maha Morocco ICP               | ICP_E105000:Qatari Diar Real Estate Inve |                |       69025.28 |                |                |                |      -69025.28 |                |                |        1109.52 |                |                |        1109.52 |      -67915.76
 179 | 005003:Morocco RE Brok Serv(under liquid | ICP_E103000:Qatar RE Partners C.Q.S.C. ( |                |       -3218.00 |                |                |                |        3218.00 |                |                |     -200000.00 |                |                |     -200000.00 |     -196782.00
 180 | 007009:QD UK Holdings LP adjusted        | ICP_E117100:QD UK Holdings LP adjusted   |   -17882306.93 |                |                |                |                |   -17882306.93 |                |     7934061.83 |                |                |                |     7934061.83 |    -9948245.10
 181 | 007012:QD UK Holdings LP adjusted        | ICP_E117100:QD UK Holdings LP adjusted   |           4.65 |                |                |                |                |           4.65 |                |     9830437.32 |                |                |                |     9830437.32 |     9830441.97
 182 | 009002:QD Ras Al Hadd Development ICP    | ICP_E112000:Qatari Diar Development Comp |                |                |                |                |    20340466.09 |    20340466.09 |                |                |   -13112760.00 |                |                |   -13112760.00 |     7227706.09
 183 | 013001:Qatari Diar UK Limited            | ICP_E117100:QD UK Holdings LP adjusted   |        1395.30 |    -2315402.68 |                |                |                |     2316797.98 |     -116407.55 |                |                |                |                |      116407.55 |     2433205.53
 184 | 013011:Qatari Diar Europe LLP            | ICP_E101000:QDHP & QD Europe Sarl        |                |           1.75 |                |                |                |          -1.75 |                |        8722.03 |                |                |                |        8722.03 |        8720.28
 185 | 013011:Qatari Diar Europe LLP            | ICP_E117100:QD UK Holdings LP adjusted   |                |      125000.28 |                |                |                |     -125000.28 |     2315402.68 |                |                |                |                |    -2315402.68 |    -2440402.96
 186 | 013014:30 GS LLP ICP                     | ICP_E101000:QDHP & QD Europe Sarl        |                |    -1313435.12 |                |                |                |     1313435.12 |          -1.96 |                |                |                |                |           1.96 |     1313437.08
 187 | 022001:QDREI  Co. Tajakistan Ltd         | ICP_001001:QDRE Investment Company Q.S.C |                |                |                |   -26035079.04 |                |   -26035079.04 |                |                |                |                |                |                |   -26035079.04
 188 | 027009:QD Americas Inc. - Delaware ICP   | ICP_E108000:QD US Real Estate Co.        |                |   -26035079.04 |                |                |                |    26035079.04 |                |     -465978.46 |                |                |                |     -465978.46 |    25569100.58
