Skipped: net=-30465313.0, entity=013014:30 GS LLP, icp=FCCS_No Intercompany:No Intercompany, acct=187013:187013:Current - Derivative financial instruments
Skipped: net=30465313.0, entity=013014:30 GS LLP, icp=FCCS_No Intercompany:No Intercompany, acct=188999:188999:Derivative financial instruments - asset
Skipped: net=10717605.0, entity=013014:30 GS LLP, icp=FCCS_No Intercompany:No Intercompany, acct=201106:201106:Retention payable - Withholding Tax
Skipped: net=-10717605.0, entity=013014:30 GS LLP, icp=FCCS_No Intercompany:No Intercompany, acct=222104:222104:Current portion of retention payable
Skipped: net=920.84, entity=E108000:QD US Real Estate Co., icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=-920.84, entity=E108000:QD US Real Estate Co., icp=FCCS_No Intercompany:No Intercompany, acct=430998:430998:P&L Clearing account FY23
Skipped: net=156050.35, entity=E117100:QD UK Holdings LP adjusted, icp=FCCS_No Intercompany:No Intercompany, acct=224000:224000:Due to related parties
Skipped: net=-156050.35, entity=E117100:QD UK Holdings LP adjusted, icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=-7934061.83, entity=E117100:QD UK Holdings LP adjusted, icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=8051869.61, entity=E117100:QD UK Holdings LP adjusted, icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=-4.65, entity=E117100:QD UK Holdings LP adjusted, icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=-241903.0, entity=E101000:QDHP & QD Europe Sarl, icp=FCCS_No Intercompany:No Intercompany, acct=165003:165003:Advances provided for related parties
Skipped: net=241903.0, entity=E101000:QDHP & QD Europe Sarl, icp=FCCS_No Intercompany:No Intercompany, acct=189003:189003:Due from QIA
Skipped: net=-4156291.96, entity=E101000:QDHP & QD Europe Sarl, icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=-1313435.33, entity=E101000:QDHP & QD Europe Sarl, icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=-303343.0, entity=E101000:QDHP & QD Europe Sarl, icp=FCCS_No Intercompany:No Intercompany, acct=189001:189001:Inter company account - receivables
Skipped: net=303343.0, entity=E101000:QDHP & QD Europe Sarl, icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=3635532.44, entity=E101000:QDHP & QD Europe Sarl, icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=-6466.5, entity=E108000:QD US Real Estate Co., icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=-400.0, entity=026001:QDRE Investment Co. (Seychelles) Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=400.0, entity=026001:QDRE Investment Co. (Seychelles) Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=430998:430998:P&L Clearing account FY23
Skipped: net=11700.0, entity=E111000:Qatari Resorts Co. Q.S.C., icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=-773.0, entity=E111000:Qatari Resorts Co. Q.S.C., icp=FCCS_No Intercompany:No Intercompany, acct=[312000].[310004]:310004:Translation_Reserve
Skipped: net=773.0, entity=E111000:Qatari Resorts Co. Q.S.C., icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=9694.21, entity=E111000:Qatari Resorts Co. Q.S.C., icp=FCCS_No Intercompany:No Intercompany, acct=188800:188800:Intercompany Balances Plug A/c
Skipped: net=-9694.21, entity=E111000:Qatari Resorts Co. Q.S.C., icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=-21058480.27, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=[314000].[301005]:301005:Profit during the period
Skipped: net=188553.37, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=539195.23, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=[314000].[315005]:315005:Minority_Interest
Skipped: net=20330731.67, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=FCC_Minority Interest Income_Manual Input:Minority Interest Income_Manual Input
Skipped: net=1555338.34, entity=E101000:QDHP & QD Europe Sarl, icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=-3602.0, entity=E124000:QDRE Investment Company Tozeur Subgroup, icp=FCCS_No Intercompany:No Intercompany, acct=[312000].[310004]:310004:Translation_Reserve
Skipped: net=3602.0, entity=E124000:QDRE Investment Company Tozeur Subgroup, icp=FCCS_No Intercompany:No Intercompany, acct=430998:430998:P&L Clearing account FY23
